config,attempt_cap,expected_solved_tasks,mean_probability_at_least_one_success,expected_stop_on_success_cost_usd,fixed_attempt_cost_usd,stop_on_success_cost_per_expected_solved_task_usd,fixed_attempt_cost_per_expected_solved_task_usd,observed_any_success_tasks_in_existing_3_reps
baseline,1,9.333333333333332,0.25925925925925924,34.06418866666667,34.06418866666667,3.6497345000000005,3.6497345000000005,
baseline,2,11.11111111111111,0.30864197530864196,59.497041777777795,68.12837733333333,5.354733760000002,6.13155396,
baseline,3,12.148148148148149,0.3374485596707819,83.56733925925928,102.19256600000001,6.879018780487806,8.41219293292683,14
baseline-neutral-orchestration-only,1,10.0,0.2777777777777778,34.44717366666666,34.44717366666666,3.4447173666666657,3.4447173666666657,
baseline-neutral-orchestration-only,2,12.0,0.3333333333333333,60.437332444444436,68.89434733333331,5.036444370370369,5.7411956111111095,
baseline-neutral-orchestration-only,3,12.888888888888891,0.3580246913580247,84.65458737037038,103.34152100000001,6.56802833045977,8.017876629310345,14
baseline-preamble-only,1,11.333333333333332,0.31481481481481477,37.95263866666666,37.95263866666666,3.3487622352941173,3.3487622352941173,
baseline-preamble-only,2,13.11111111111111,0.36419753086419754,64.68956433333334,75.90527733333332,4.933949822033899,5.7893855593220325,
baseline-preamble-only,3,14.14814814814815,0.3930041152263375,89.94972274074073,113.85791599999997,6.357702916230364,8.047549036649212,16
baseline-preamble-orchestration,1,11.0,0.3055555555555556,34.010039,34.010039,3.0918217272727273,3.0918217272727273,
baseline-preamble-orchestration,2,13.666666666666666,0.3796296296296296,58.76149166666667,68.020078,4.299621341463415,4.977078878048781,
baseline-preamble-orchestration,3,15.000000000000004,0.41666666666666674,81.30114618518519,102.030117,5.420076412345678,6.802007799999998,17
baseline-wf-only,1,11.666666666666666,0.32407407407407407,39.3897,39.3897,3.37626,3.37626,
baseline-wf-only,2,13.88888888888889,0.38580246913580246,66.97634955555554,78.7794,4.822297167999999,5.6721167999999995,
baseline-wf-only,3,14.851851851851855,0.4125514403292182,92.13606733333333,118.1691,6.2036753566084775,7.95652294264339,16
baseline-preamble-orchestration-wf,1,10.333333333333332,0.287037037037037,36.718274333333326,36.718274333333326,3.553381387096774,3.553381387096774,
baseline-preamble-orchestration-wf,2,12.333333333333336,0.34259259259259267,62.84701288888888,73.43654866666665,5.095703747747746,5.954314756756754,
baseline-preamble-orchestration-wf,3,13.14814814814815,0.36522633744855976,86.64545055555554,110.15482299999998,6.589935676056336,8.377972453521124,14
