comparison_id,task,rep,direction,left_config,right_config,left_partial,right_partial,partial_delta_right_minus_left,cost_delta_right_minus_left,token_delta_right_minus_left,language,category,primary_bucket,confidence,packet_md
workflow_vs_no_repro,vulture-persistent-analysis-cache,2,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.987460815047022,-0.01253918495297801,0.051389999999999936,227530,python,feature_request,cross-scope regression,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__vulture-persistent-analysis-cache__rep2__left_only.md
workflow_vs_no_repro,obsidian-linter-link-format-conversion,1,right_only,baseline-wf-only,baseline-wf-no-repro-script,0.9991603694374476,1.0,0.0008396305625524292,-0.37451,-141807,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__obsidian-linter-link-format-conversion__rep1__right_only.md
workflow_vs_no_repro,happy-dom-deterministic-intersectionobserver,0,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.9565217391304348,-0.04347826086956519,-0.031299999999999994,51333,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__happy-dom-deterministic-intersectionobserver__rep0__left_only.md
workflow_vs_no_repro,langchain-request-coalescing,0,right_only,baseline-wf-only,baseline-wf-no-repro-script,0.9893617021276596,1.0,0.010638297872340385,0.07698100000000008,377027,python,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__langchain-request-coalescing__rep0__right_only.md
workflow_vs_no_repro,claude-code-by-agents-recursive-delegation,0,right_only,baseline-wf-only,baseline-wf-no-repro-script,0.868421052631579,1.0,0.13157894736842102,-0.45649399999999984,-450790,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__claude-code-by-agents-recursive-delegation__rep0__right_only.md
workflow_vs_no_repro,go-critic-doc-link-checker,0,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.8947368421052632,-0.10526315789473684,0.02150200000000002,139603,go,feature_request,under-implementation,medium,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__go-critic-doc-link-checker__rep0__left_only.md
workflow_vs_no_repro,mobly-grouped-test-barriers,0,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.9808342728297632,-0.01916572717023679,-0.5848309999999999,-733301,python,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__mobly-grouped-test-barriers__rep0__left_only.md
workflow_vs_no_repro,mobly-grouped-test-barriers,2,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.979706877113867,-0.020293122886133053,-0.19392199999999993,32161,python,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__mobly-grouped-test-barriers__rep2__left_only.md
workflow_vs_no_repro,fastapi-deprecation-response-headers,1,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.9990828492815653,-0.0009171507184346783,-0.39946799999999993,279115,python,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__fastapi-deprecation-response-headers__rep1__left_only.md
workflow_vs_no_repro,actionlint-action-pinning-lint,2,right_only,baseline-wf-only,baseline-wf-no-repro-script,0.985,1.0,0.015000000000000013,-0.175226,74061,go,feature_request,under-implementation,medium,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__actionlint-action-pinning-lint__rep2__right_only.md
workflow_vs_no_repro,sql-formatter-bigquery-pipe-formatting,0,left_only,baseline-wf-only,baseline-wf-no-repro-script,1.0,0.9993025283347864,-0.0006974716652136115,-0.5958129999999999,-660449,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_repro/workflow_vs_no_repro__sql-formatter-bigquery-pipe-formatting__rep0__left_only.md
workflow_vs_no_commit,superjson-error-stack-serialization,1,right_only,baseline-wf-only,baseline-wf-no-commit,0.9744897959183674,1.0,0.025510204081632626,-0.21180999999999994,-123405,typescript,feature_request,under-implementation,medium,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__superjson-error-stack-serialization__rep1__right_only.md
workflow_vs_no_commit,katex-multicolumn-array-spans,1,right_only,baseline-wf-only,baseline-wf-no-commit,0.9927849927849928,1.0,0.00721500721500723,-0.09873599999999993,162274,javascript,feature_request,under-implementation,medium,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__katex-multicolumn-array-spans__rep1__right_only.md
workflow_vs_no_commit,vulture-persistent-analysis-cache,2,left_only,baseline-wf-only,baseline-wf-no-commit,1.0,0.987460815047022,-0.01253918495297801,0.024425999999999948,193652,python,feature_request,cross-scope regression,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__vulture-persistent-analysis-cache__rep2__left_only.md
workflow_vs_no_commit,obsidian-linter-link-format-conversion,2,right_only,baseline-wf-only,baseline-wf-no-commit,0.998320738874895,1.0,0.0016792611251049694,-0.4005930000000001,-399187,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__obsidian-linter-link-format-conversion__rep2__right_only.md
workflow_vs_no_commit,happy-dom-deterministic-intersectionobserver,0,left_only,baseline-wf-only,baseline-wf-no-commit,1.0,0.9565217391304348,-0.04347826086956519,-0.217995,-63382,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__happy-dom-deterministic-intersectionobserver__rep0__left_only.md
workflow_vs_no_commit,happy-dom-deterministic-intersectionobserver,2,left_only,baseline-wf-only,baseline-wf-no-commit,1.0,0.9565217391304348,-0.04347826086956519,-0.158638,-42153,typescript,feature_request,under-implementation,high,analysis/gpt55-low-wf-ablation-36v2/churn_packets/workflow_vs_no_commit/workflow_vs_no_commit__happy-dom-deterministic-intersectionobserver__rep2__left_only.md
